word,index
jajan,1254
tv,1255
last,1256
pejabat,1257
teriak,1258
biadab,1259
wangi,1260
tempe,1261
belah,1262
pengetahu,1263
where,1264
tidak_kalah,1265
liga,1266
west,1267
mega,1268
angka,1269
too,1270
niat,1271
ijazah,1272
kayu,1273
etik,1274
gerindra,1275
bayi,1276
rabu,1277
sushi,1278
internat,1279
hina,1280
latih,1281
ujung,1282
gelas,1283
didu,1284
matang,1285
dima,1286
bos,1287
parpol,1288
taiw,1289
before,1290
since,1291
parti,1292
gereja,1293
sesat,1294
bukit,1295
ribut,1296
sabtu,1297
kiri,1298
dekorasi,1299
tol,1300
hehehe,1301
apresiasi,1302
base,1303
don,1304
asing,1305
tindak,1306
pecinta,1307
marang,1308
lambat,1309
sanctions,1310
inspirasi,1311
some,1312
peak,1313
golkar,1314
lantik,1315
busuk,1316
usung,1317
dprd,1318
samping,1319
valley,1320
tidak_ubah,1321
inti,1322
iring,1323
mayoritas,1324
adu,1325
president,1326
ungsi,1327
got,1328
puasa,1329
haha,1330
bendera,1331
first,1332
riang,1333
tempo,1334
sempurna,1335
tum,1336
beras,1337
istimewa,1338
anis,1339
defense,1340
sang,1341
give,1342
buta,1343
gerak,1344
risiko,1345
kapolres,1346
posting,1347
adaan,1348
sedap,1349
tps,1350
konsisten,1351
re,1352
rekam,1353
tidak_makan,1354
serah,1355
hahaha,1356
copot,1357
pbb,1358
undang,1359
gus,1360
alir,1361
berla,1362
killed,1363
open,1364
said,1365
very,1366
oleholeh,1367
payah,1368
aduh,1369
oktober,1370
olah,1371
kritik,1372
hutan,1373
fisik,1374
tuntut,1375
suki,1376
saksi,1377
puluh,1378
online,1379
sobat,1380
hapus,1381
gugat,1382
jilat,1383
koman,1384
kawal,1385
yes,1386
komunikasi,1387
karyawan,1388
used,1389
cowok,1390
ahy,1391
ikhlas,1392
still,1393
internasional,1394
tukang,1395
batu,1396
jihad,1397
tidak_masuk,1398
khawatir,1399
angin,1400
sup,1401
pkb,1402
jago,1403
hoaks,1404
tangkap,1405
suguh,1406
cakep,1407
maksimal,1408
digital,1409
dewasa,1410
another,1411
jews,1412
jkw,1413
kapolsek,1414
kendal,1415
tahi,1416
europe,1417
kec,1418
genosida,1419
please,1420
off,1421
rezim,1422
mewah,1423
memust,1424
brata,1425
lurah,1426
seni,1427
tidak_nyaman,1428
forces,1429
report,1430
aseanbac,1431
februari,1432
wig,1433
mbako,1434
jejak,1435
saing,1436
koordinasi,1437
palestinians,1438
really,1439
krisis,1440
versi,1441
lagu,1442
komisi,1443
bin,1444
sari,1445
cicip,1446
insyaal,1447
burger,1448
haram,1449
memade,1450
shopee,1451
tidak_iya,1452
materi,1453
kentang,1454
breaking,1455
jamur,1456
cuaca,1457
nabi,1458
pulau,1459
memenyata,1460
trump,1461
usah,1462
tenderlo,1463
bungkus,1464
leseh,1465
gelap,1466
bangkit,1467
orba,1468
purworejo,1469
acah,1470
strikes,1471
strategi,1472
day,1473
solo,1474
mengerti,1475
bawang,1476
nusantara,1477
bacot,1478
tajan,1479
artis,1480
hezbol,1481
infrastruktur,1482
bijak,1483
well,1484
guys,1485
kering,1486
dita,1487
apel,1488
operasi,1489
memenga,1490
berte,1491
kacau,1492
thats,1493
lebanon,1494
kabar,1495
agenda,1496
nasib,1497
universitas,1498
embassy,1499
stand,1500
listrik,1501
antisipasi,1502
selisih,1503
proxies,1504
journe,1505
rebut,1506
april,1507
kebun,1508
poin,1509
israhell,1510
masjid,1511
threat,1512
teliti,1513
soto,1514
tidak_bosan,1515
end,1516
partisipasi,1517
un,1518
selenggara,1519
sejum,1520
funding,1521
sms,1522
kanan,1523
tidak_milu,1524
happy,1525
