full_text,processed
Karya - Sadar Diri Semoga yang sedang kesulitan karena UKT bisa menemukan jalan terbaik ya . https://t.co/BQlyabbn9g,karya-karya sadar semoga kesulitan ukt menemukan jalan terbaik
Nadiem Tegaskan Kenaikan UKT Hanya Berlaku Bagi Mahasiswa Baru dan Berekonomi Tinggi https://t.co/PWnvOMC1YJ,nadiem tegaskan kenaikan ukt berlaku mahasiswa berekonomi
Itung-itungan PNS jelata nyekolahin 2 anaknya ke Univ dg UKT 17 5jt: Income: Gaji+tunj: 3-4 jt Tukin/ TPP: kisaran 2-3 juta Total 5-7jt /bulan Pengeluaran Klo UKT per sem 17 5 anak 2 berarti 35 jt/ 6 bln Total gaji 5 jtx6 br dapet 30 jt. Terus biaya laen dari mana coba?,itungitungan pns jelata nyekolahin anaknya universitas ukt juta income gajitunj juta tukin tpp kisaran juta total juta pengeluaran ukt sem anak-anak juta total gaji jtx juta biaya coba
Eksekutif Mahasiswa Universitas Brawijaya (EM UB) 2024 mengirimkan sepaket kotak yang dinamai Kotak Reformasi kepada Mendikbudristek Nadiem Makarim. Isinya: surat terbuka dan bet pingpong. Kotak dikirim setelah demonstrasi UKT (Uang Kuliah Tunggal) di Rektorat UB (22/5). https://t.co/VCWau8kHB6,eksekutif mahasiswa universitas brawijaya em ub mengirimkan sepaket kotak dinamai kotak reformasi mendikbudristek nadiem makarim isinya surat terbuka banget pingpong kotak dikirim demonstrasi ukt uang kuliah tunggal rektorat ub
Mahasiswa yg menyuarakan protes kenaikan UKT malah di intimidasi sama fihak kampus nya sendiri . Kok gitu?? Tega banget jadi gak mau mahasiswa nya mengkritik ?? Ternyata kampus juga berusaha membungkam mulut 2 mahasiswa yang berfikiran kritis . Welcome to konoha https://t.co/2Dx5TQ3zVK,mahasiswa menyuarakan protes kenaikan ukt intimidasi fihak kampus tega banget enggak mahasiswa mengkritik kampus berusaha membungkam mulut mahasiswa berfikiran kritis welcome konoha
Kasihan anak pintar ini dari keluarga kurang mampu ayahnya hanya berpenghasilan 4juta(5 anak) UKT 8.200rb pun tak terjangkau. Ini hanya satu contoh dari jutaan mahasiswa baru dari keluarga tidak mampu apalagi ada yg UKT nya sampai ratusan juta.Apa mereka gak boleh sekolah tinggi? https://t.co/hXSrSo5xqV,kasihan anak-anak pintar keluarga ayahnya berpenghasilan juta anak-anak ukt ribu terjangkau contoh jutaan mahasiswa keluarga tidak ukt ratusan jutaapa enggak sekolah
Bersuara lantang seorang mahasiswa anak buruh serabutan berpenghasilan Rp 1 5 juta protes karena harus melunasi UKT Rp 8 Juta. Nah lho... Nyesel belakangan di kasih pilihan 1 keluarga kurang mampu 1 sarjana. Malah pilih makan gratis. Jogetin ajaaa https://t.co/tqAb79Y2oC,bersuara lantang mahasiswa anak-anak buruh serabutan berpenghasilan rp juta protes melunasi ukt rp juta lho menyesal kasih pilihan keluarga sarjana pilih makan gratis berjoget
Banyak banget ya cobaan angkatan 24 mulai dr SD UN nya ada uraian SMP UN ilang + zonasi SMA SNBT ada Uraian + UKT naik.. Semoga angkatan 24 di berikan kesabaran kesehatan dan diluluskan di snbt pilihan 1. Aamiin,banget cobaan angkatan sd un uraian un hilang zonasi snbt uraian ukt semoga angkatan kesabaran kesehatan diluluskan snbt pilihan amin
Menyala Presidenku Saran nih Pak Presiden kalaupun UKT ada asal dg biaya ringan. Dan untuk anak2 berprestasi dan Eligible bisa mendapatkan beasiswa full dan dapat masuk di seluruh Universitas Negeri ataupun sekolah kedinasan. Yakin deh pasti Pendidikan kita jauh lebih maju. https://t.co/VLdXqhcZt2,menyala presidenku saran presiden ukt biaya ringan anak-anak berprestasi eligible beasiswa full masuk universitas negeri sekolah kedinasan deh pendidikan maju
Kenaikan UKT Dibatalkan Nadiem Makarim Minta PTN Kembalikan Kelebihan Bayar dari Mahasiswa https://t.co/D7yY1gL99e #TempoNasional,kenaikan ukt dibatalkan nadiem makarim ptn kembalikan kelebihan bayar mahasiswa
Kenaikan UKT batal untuk tahun ini. Tentu ini layak disambut dgn baik. https://t.co/3jsGZLiBvx,kenaikan ukt batal tahun-tahun layak disambut
